hindi_terms,english_translations
लैक्टोस,lactose
पृष्ठ रज्जुक,lagging strand
लैम्ब्डा क्लोनन संवाहक,lambda cloning vector
पटलीय वायु प्रवाह,laminar air flow
लैम्पब्रश गुणसूत्र,lamp brush chromosome
भूमि,land
जमीन,land
स्थल,land
प्रदेश,land
भूमि समर्थता वर्गीकरण,land capability classification
भूमि समर्थता मानचित्र,land capability map
भूमि निम्नीकरण,land degradation
भूमि तुल्यांक अनुपात,land equivalent ratio
भूमि समतलीकरण,land levelling
भूमि सुधार,soil amendment
भूदृश्य कला,landscaping
भूमि उपयुक्तता,land suitability
भूमि उपयोग पद्धति,land use pattern
लैंगरहेंस कोशिकाएं,Langerhans cells
हास दर,lapse rate
लार्वा,larva
डिंभक,larva
प्रसुप्तता,latency
गुप्त,latent
प्रसुप्त संक्रमण,latent infection
पार्श्व,lateral
पार्श्विक,lateral
पार्श्वीय,lateral
लेटराइट मृदा,laterite soils
लेटेक्स,latex
असंस्‍कृत रबड़,latex
लैथिरस रोग,lathyrism
लैथिरसता,lathyrism
लातीनी वर्ग अभिकल्पना,latin square design (LSD)
जालक,lattice
तुलनात्मक लाभ नियम,law of comprative advantage
स्थिर प्रतिफल का नियम,law of constant returns
हासमान प्रतिफल का नियम,law of diminishing returns
वर्धमान प्रतिफल का नियम,law of increasing returns
सीमित कारकों का नियम,law of limiting factors
न्यूनतम का नियम,law of minimum
प्रतिस्थापन का नियम,law of substitution
परिवर्ती अनुपात नियम,law of variable proportions
"दाब, परत, अंडे देने वाली मुर्गी",layer
अभिन्यास,layout
निस्सारित तत्व,leachate
निस्सारण क्षमता,leaching efficiency
निस्सारण मांग,leaching requirement
अग्रग रज्जुक,leading strand
पर्ण क्षेत्र अवधि,leaf area duration
पर्णक्षेत्र सूचकांक,leaf area index
पर्ण क्षेत्र अनुपात,leaf area ratio
पर्ण सुरंगक,leaf miner
पर्ण परीक्षण,leaf testing
"पर्ण, पत्ती, पत्र, पत्ता",leaf
समाचारपत्रक,leaflet
पट्टा,lease
शिब फली,legume
निम्न ऊर्जा लागत संधारणीय कृषि,LEISA - (Low Energy Input Sustainable Agriculture)
वातरंध,lenticel
लेन्टो केशिका बिंदु,lento capillary point
तगुस्रु,leptonema
लेप्टोनिमा,leptonema
लेप्टोस्पाइरता,leptospirosis
शुक्रकोशक आकारिकी,lero-morphic
विक्षति,lesion
घातक उत्परिवर्तन,lethal mutation
अवर्णीलवक,leucoplast
समतल वेदिका,level terrace
करहा,leveler (leveller)
समतलतक,leveler (leveller)
पाटा,leveler (leveller)
समतलन (भूमि का),levelling (of land)
ले कृषि,ley farming
लीबिग का न्यूनतम नियम,Liebig's law of minimum
बंधन,ligation
प्रकाश समायोजन बिंदु,light compensation point
प्रकाश संतृप्त सघनता,light saturation intensity
प्रकाश संचारण अनुपात,light transmission ratio
प्रकाश पास,light trap
चूना मिलाना,liming
सीमा बंधन,limitation
सीमाकारी कारक,limiting factor
लाइमोनाइट,limonite
रेखा,line
वंशक्रम,line
रेखिक अनुक्रिया,linear response
सहलग्नता,linkage
सहलग्न समूह,linkage group
योजक,linker
रूई सूचकांक,lint index
रोम,linters
वसा,lipid
लिपिड,lipid
वसा-अपघटन,lipolysis
परिसमापन,liquidation
मैंडकारी,lister
लिस्टर (वक्वर),lister
मेंड़ बनाना,listing
स्थल मंडल,lithosphere
बिछाली,litter
संशाव,litter
सजीव पलवार,live mulches
लिवरवर्ट,liverwort
पशुधन,livestock
स्थानीय नियंत्रण,local control
संस्थिति,locus
निधान,locus
विशल,locus
टिड्डी,locust
अवस्थान,lodging (crop lodging)
गिरना (फसल का गिरना),lodging (crop lodging)
लॉडिक्यूल,lodicule
लोएस,loess
लघुगणकीय रूपांतरण,logarithmic transformation
दीर्घ प्रदीपकालीन पादप,long - day plant
दीर्घ तरंगीय विकिरण,long wave radiation
पाश,loop
कर्तन,lopping
कटि,lumber
लक्स,lux
विलासिता उपभोग (पोषक तत्व),luxury consumption (nutrient)
विलासी जीन,luxury genes
लाइकोपीन,lycopene
लसीका,lymph
लाइसमीटर लिसजलमापी,lysimeter
कोशिकालयन,lysis of cell
लयजनन,lysogeny
लयनकाय,lysosome
लाइसोसोम,lysosome
लाइसोजाइम,lysozyme
गुरु विकास,macro evolution
विस्तृतक्षेत्रीय जलवायु,macroclimate
वृहणु,macromolecule
गुरु उत्परिवर्तन,macromutation
प्रमुख पोषक तत्व,macronutrient
दीर्घ छिद्र,macropores
मैगट,maggot
मैग्मा,magma
मैग्नीशिया,magnesia
मैग्नीशियम,magnesium
चुंबकीय विलोड़क,magnetic stirrer
परिमाण,magnitude
महुए की खली,mahua cake
अनुरक्षक पंक्ति,maintainer line
अनुरक्षण,maintenance
संभाल,maintenance
देखभाल,maintenance
मक्का के दाने निकालने वाली मशीन,maize sheller
नरबांझ,male sterile
कुरूपता,malformation
कुरचना,malformation
दुर्दमता,malignancy
कुपोषण,malnutrition
कुरीति,malpractice
माल्टन,malting
नांद,manger
"मैंग्रोव, गरान",mangroves
"मैनोमीटर, दाबमापी",manometer
दाबमापी,piezometer
अपूर्णांक (लघुगणक का),mantissa (of logarithm)
खाद,manure
"खाद देना, खाद डालना",manuring
"सीमांत, उपांत",marginal
सीमांत लागत,marginal cost
उपांत भूमि,marginal land
सीमांत उत्पाद,marginal product
सीमांत आय,marginal return
समुद्री,marine
चिह्नक (आनुवंशिक),marker (genetic)
"बाजार, मंडी",market
"पण्य, विक्रेय, विपणन योग्य",marketable
विपणन-योग्य अधिशेष,marketable surplus
विपणित अधिशेष,marketed surplus
विपणन,marketing
कच्छ,marsh
द्रवमान बहाव,mass flow
महा चयन,mass selection
व्यापक चयन,mass selection
समूह चयन,mass selection
द्रवमान स्पेक्ट्रोमीटर,mass-spectrometer
मस्तूल,mast
मातृक वंशागति,maternal inheritance
मिलन,mating
संगम,mating
मैट्रिक विभव,matric potential
तैयार होना,maturation
परिपक्वन,maturation
परिपक्वता (फसल),maturity (crop)
अधिकतम उपलब्ध जल,maximum available water
अधिकतम सरयन,maximum cropping
अधिकतम अवशेष सीमा,maximum residue limit
अधिकतम संधारणीय उपज,maximum sustainable yield
अधिकतम तापमापी,maximum thermometer
अधिकतम जलधारण क्षमता,maximum water holding capacity
शाद्वल बागवानी,meadow orcharding
चूर्णी,mealy
माध्य विचलन,mean deviation
माध्य जीवन (नाभिकीय),mean life (nuclear)
माध्य समुद्र तल,mean sea level
माध्य वर्ग,mean square
माप,measure
माप करना,measure
मापन,measurement
यांत्रिक,mechanical
प्रमाणी विश्लेषण (मृदा),mechanical analysis (soil)
यांत्रिक प्रतिरोधा,mechanical impedence
यांत्रिक कृषि,mechanized farming
मध्य,median
मध्यस्थ,median
मध्यिका,median
औषधीय पादप,medicinal plant
भूमध्यसागरीय जलवायु,mediterranean climate
गुरुगमेटजनन,megagametogenesis
गुरु बीजाणुधानी,megasporangia
गुरु बीजाणु,megaspore (macrospore)
गुरुबीजाणुजनन,megasporogenesis
अर्धसूत्रण,meiosis
अर्धसूत्री विभाजन,meiosis
नरम मृदा,mellow soil
डी.एन.ए विरंजन,melting of DNA
झिल्ली निस्संयक,membrane filter
मेंडेलीय वंशागति,mendelian inheritance
मेंडेलवाद,mendelism
मेंडल का वंशागति नियम,Mendel's law of inheritance
पण्यामाल,merchandise
विक्रेयामाल,merchandise
पारा,mercury
पारद,mercury
विभज्योतक,meristem
मध्य जलवायु,mesoclimate
मध्यर्म,mesoderm
मध्यजनस्तर,mesoderm
पर्ण मध्योतक,mesophyll
समोद्भिद,mesophyte
मध्य छिद्र,meso-pores
मध्यमंडल,mesosphere
दूत आर.एन.ए. (एम.-आर.एन.ए),messenger RNA (m-RNA)
उपापचय,metabolism
उपापचयज,metabolites
धातु बांध,metal dam
कायांतारित शैल,metamorphic rocks
कायांतरण,metamorphosis
मध्यावस्था,metaphase
अनुमदकाल,metastrus
परागानुग्रभाव,metaxenia
मेटाजीनिया,metaxenia
मौसम विज्ञान,meteorology
मेटहीमोग्लोबिन-नीमिया,methaemoglobinaemia
विधि प्रदर्शन,method demonstration
अभ्रक,mica
लघु द्रोणी,micro basin
सूक्ष्म प्राणिजात,micro fauna
सूक्ष्मजीव,microbe
सूक्ष्मजीवी जैवभार कार्बन,microbial biomass carbon
सूक्ष्मजीवी निम्नीकरण,microbial degradation
सूक्ष्मजीवी कीटनाशी,microbial insecticide
सूक्ष्मजीव विज्ञान,microbiology
लघुजीवी,microbiotic
सूक्ष्म जलवायु,microclimate
सूक्ष्म पर्यावरण,microenvironment
सूक्ष्म वनस्पतिजात,microflora
लघुगमकजनन,microgametogenesis
लघु सिंचाई,microirrigation
सूक्ष्म मौसमविज्ञान,micrometeorology
सूक्ष्म पोषक (तत्व),micronutrient
लघु प्लाट,microplot
सूक्ष्मरंध्र,micropore
बीजांड द्वार,micropyle
सूक्ष्मदर्शिकी,microscopy
सूक्ष्म बीजाणुथानी,microsporangium
सूक्ष्मबीजाणु संवर्धन,microspore culture
सूक्ष्मबीजाणु मातृ कोशिका,microspore mother cell
लघुवीजाणु,microspore
माइक्रोस्पोर,microspore
सूक्ष्मकर्तक,microtome
माइक्रोटोम,microtome
सूक्ष्म स्थलाकृति,microtopography
मध्य-ऋतु सुधार,mid-season correction
प्रवास,migration
प्रवसन,migration
दाने की दुग्धावस्था,milk grain stage
मिल्लीपीड,millepede
"मिलेट (ज्वार, बाजरा, आदि)",millets
पेषण प्राप्ति,milling recovery
पेरना प्राप्ति,milling recovery
पेषण,pulverization
दलना,milling
कूटना,milling
पीसना,pulverization
पेरना,milling
खनिज पोषण,mineral nutrition
खनिज मृदा,mineral soil
खनिजीकरण,mineralisation
खनिजीभवन,mineralisation
खनिज,minerals
न्यूनतम तापमापी,minimum thermometer
न्यूनतम कर्षण,minimum tillage
गौण फसलें,minor crops
समसूत्रणी सूचकांक,miotic index
अपर्थक उत्परिवर्तन,missence mutation
कुहासा सिंचाई,mist irrigation
कुहासा,mist
माइटोकॉन्ड्रिया,mitochondria
सूत्रकणिका,mitochondria
समसूत्रण,mitosis
मिट्सर्लिक का नियम,Mitscherlich's law
मिश्रित सरयन,mixed cropping
मिश्रित खेती,mixed farming
मिश्रित कृषि,mixed farming
मिश्रित उर्वरक,mixed fertilizer
मिश्रित चराई,mixed grazing
मिश्रित स्वार्ड,mixed sward
प्रतिरूप,model
निदर्श,model
प्रतिरूपण,modelling
अपवर्तित वातावरणीय पैकिंग,modified atmosphere
पैकेजिंग,packaging
नमी उपलब्धता सूचकांक,moisture availability index
नमी ह्रास सूचकांक,moisture deficit index
नमी तुल्यांक,moisture equivalent
नमी प्रबृति,moisture regime
नमी मोचन वक्र,moisture release curve
जल धारण-शक्ति,moisture retention
नमी प्रबलल,moisture stress
नमी तनाव,moisture tension
नमी,moisture
मोलर विलयन,molar solution
शीरा,molasses
मोल अपवाह,mole drainage
अणु जीविकी,molecular biology
आण्विक प्रजनन,molecular breeding
आण्विक संकरण,molecular hybridization
मोलस्कनाशी,molluscicide
आर्थिक लाभ सूचकांक,monetary advantage
एकक्लोनी प्रतिरक्षी,monoclonal antibody
एकबीजपत्री,monocotyledons
एकथा सरयन,monocrop (Monoculture)
उभयलिंगाश्रयी,monoecious
अलैंगिक जनन,monogenesis
एकोद्भव वाद,monogenesis
एकसंकर जनन,monohybrid
एकयुग्मजनज,monozygotic
मानसून,monsoon
मॉन्तमोरिलोनाइट,montmorillonite
मूर,moor
मॉर,mor
मॉर्गन इकाई,Morgan unit
संरचना विकास,morphogenesis
आकृतिक अनुकूलन,morphological adaptation
आकारिकी,morphology
बंधक,mortgage
चितकबरा,mottle
बहुरंगी,mottle
कचुरित,mottle
कदुरण,mottling
फफूंदी,mould
निर्माचन,moulting
टीला खेती,mound culture
डेरी दाब,mound layering
घासकतरक,mower
घास काटना,mowing
म्यूसिलेज,mucilage
स्लेजपक,mucilage
मक,muck soil
मृदा,muck soil
पंकसम,muddy
कीचययुक्त,muddy
मफल,muffle
पलवार खेती,mulch farming
पलवार कर्षण,mulch tillage
मल्व,mulch
पलवार,mulch
पलवारना,mulching
मल्व बनाना,mulching
अंतर्रीप,mull
मल (ह्यूमस),mull
बहुस्तरीसस्यन,multi storey cropping
बहु सहसंबंध,multiple correlation
बहु सस्योत्पादन,multiple cropping
बहु सस्योत्पादन सूचकांक,multiple cropping index
बहु संकर,multiple cross
बहु प्रतिरोध,multiple resistance
बहुवर,multivariate
बहुगुणमनज,multizygotic
ममीकरण,mummification
ममीभूत फल,mummified fruit
मस्कोवाइट,muscovite
खुंबी,mushroom
छत्रक,mushroom
उत्परिवर्तजन,mutagen
उत्परिवर्ती,mutant
उत्परिवर्तन,mutation
पारस्परिक संदमन,mutual inhibition
सहोपकारिता,mutualism
कककजाल,mycelium
माइसिलियम,mycelium
ककक विज्ञान,mycology
ककक द्रव्य,mycoplasma
कककमूल,mycorrhiza
सूक्ष्मप्रौद्योगिकी,nanotechnology
कुंभीरूप,napiform
स्वापक,narcotic
अनुकुंचनीय गति,nastic movement
राष्ट्रीय प्रदर्शन,national demonstration
भूमि का राष्ट्रीयकरण,nationalization (of land)
प्राकृतिक,natural
प्राकृत,natural
प्राकृतिक अपरदन,natural erosion
प्राकृतिक खेती,natural farming
प्राकृतिक संसाधन,natural resources
प्राकृतिक चयन,natural selection
प्राकृतिक वनस्पति,natural vegetation
वृंत,neck (hort)
उत्क्षय,necrosis
मकरंद,nectar
ऋणात्मक ऐलीलोथैपी,negative allelopathy
सूत्रकृमिनाशी,nematicide
सूत्रकृमिरोधी मूलवृंत,nematode resistant rootstock
सूत्रकृमिविज्ञान,nematology
विरिंधमता,neoteny
नेट स्वांगीकरण दर,net assimilation rate (NAR)
नेट लाभ,net gain
निवल आय (फार्म आय),net income (farm income)
निवल सिंचाई मांग,net irrigation requirement
निवल उत्पादकता,net productivity
शुद्ध प्रतिफल,net return
जाली लगाना,netting
जाली से पकड़ना,netting
न्यूरॉन,neuron
तंत्रिकाशिक,neuron
निष्प्रभावी,neutral
उदासीन,neutral
उदासीनता,neutralism
उदासीनीकरण,neutralization
निष्प्रभावीकरण,neutralization
उदासीन मृदा,neutral soil
न्यूट्रॉन नमीमापी,neutron moisture meter
निवेश,niche
कर्मस्थिति,niche
कर्मठता,niche
निकोटिन,nicotine
मल,night soil
विष्ठा,night soil
नाइट्रेट स्वांगीकरण,nitrate assimilation
नाइट्रेट अपचयन,nitrate reduction
नाइट्रेट आभिशप्तता,nitrate toxicity
शोरा,nitre
नाइटर,nitre
नाइट्रीकरण संदमक,nitrification inhibitor
नाइट्रोजन स्वांगीकरण,nitrogen assimilation
नाइट्रोजन चक्र,nitrogen cycle
नाइट्रोजन न्यूनता,nitrogen deficiency
नाइट्रोजन स्थिरीकरण,nitrogen fixation
नाइट्रोजन,nitrogenous
उत्क्रटीकरण,nobilization
पौंडा,noble cane
मोटा गन्ना,noble cane
रात्रिचर,nocturnal
गांठ,node
पर्वसंधि,node
नोड,node
मृदुल (मूल) पादप,nodulated plant
ग्रंथन,nodulation
ग्रंथि,nodule
घुमंतू,nomadion
चलवासी,nomadion
खानाबदोश,nomadion
नाम पद्घति,nomenclature
अलिकली,non allelic
अकेशिका रंध्र,non capillary pore
अप्रतिस्पर्धी फसल,non competing crop
निरर्थक उत्परिवर्तन,nonsense mutation
असार्थक,non significant
अम्लनकारी उर्वरक,non-acid forming fertilizer
अयुग्मन,uncoupling
अज्ञातकुल (पशु),non-descript (animal)
अनावश्यक तत्व,non-essential element
असमांग,non-homogenous
असमरूप,non-homologus
असमजात,non-homologus
अध्रुवीय यौगिक,non-polar compound
अनवीकरणीय ऊर्जा,non-renewable energy
अवरणात्मक स्पर्श शाकनाशी,non-selective
संपर्क शाकनाशी,contact herbicide
अवरणात्मक शाकनाशी,non-selective herbicide
असहजीवी नाइट्रोजन स्थिरीकरण,non-symbiotic
प्रसामान्य बंटन,normal distribution
सामान्य पौध,normal seedlings
प्रसामान्य विलयन,normal solution
प्रसामान्यीकरण,normalising
नार्दर्न शोषण,northern blotting
सूचनीय रोग,notifiable disease
विज्ञाप्य रोग,notifiable disease
बिना जुताई के बुवाई,no-till planting
अमिटकारी खरपतवार,noxious weeds
नाभिकीय चुंबकीय अनुनाद,nuclear magnetic
न्यूक्लिक अम्ल,nucleic acid
न्यूक्लियोबैक्टर,nucleobacter
न्यूक्लियोलस,nucleolus
केन्द्रिका,nucleolus
न्यूक्लियोटाइड,nucleotide
निराकरणीय परिकल्पना,null hypothesis
शून्यसूत्री,nullisomic
शून्य उत्परिवर्तन,null-mutation
धात्री कोशिका,nurse cell
पोषक फसल,nurse crop
पोषक सरस,nurse crop
रोपणी,nursery
नर्सरी,nursery
पोषशाला,nursery
द्रव फल,nut
गुटली,nut
द्रवकण,nut
पोषक चक्र,nutrient cycling
पोषक न्यूनता लक्षण,nutrient deficiency symptoms
पोषण,nutrition
पोषण मान,nutritional value
पोषण मान सूचकांक,nutritive value index
अविकल्पी वायुजीव,obligate aerobes
अविकल्पी अवायुजीव,obligate anaerobes
अविकल्पी परजीवी,obligate parasite
अविकल्पी,obligate
अवांछित पौधे,off-type plants
ओकाजाकी खंड,Okazaki fragment
शाकभाजी उत्पादन,olericulture
शाकभाजी संवर्धन,olericulture
अल्पजीन,oligogene
अलिगोन्यूक्लिओटाइड,oligonucleotide
जैतून का तेल,olive oil
ओमेगा-3-वसीय अम्ल,omega-3-fatty acid
सर्वाहारी,omnivorous
अर्द्व जीन,oncogene
अर्द्वजनक विषाणु,oncogenic virus
कैंसर विज्ञान,oncology
अर्द्वविज्ञान,oncology
प्रक्षेत्र पर अनुसंधान,on-farm research
अंडाणु,ovum
प्रचालन लागत,operating cost
ओपेरॉन,operon
प्रचालक,operon
अवसरी सरयन,opportunity cropping
इष्टतम मात्रा,optimum dose
इष्टतम आर्थिक मात्रा,optimum economic dose
फलोद्यान की दक्षता,orchard efficiency
जैविक कृषि,organic agriculture
कार्बनिक कोलॉइड्स,organic colloids
जैविक खेती,organic farming
जैविक खाद,organic manure
जैविक पदार्थ,organic matter
कार्बनिक पदार्थ,organic matter
जैविक नाइट्रोजन (मृदा),organic nitrogen (soil)
जैविक फॉस्फोरस,organic phosphorus
कार्बनिक मृदा,organic soil
जैविक मृदा,organic soil
जैविक अपशिष्ट,organic wastes
जैविक,organic
कार्बनिक,organic
संगठित विपणन,organised marketing
अंग विकास,organogenesis
इंद्रियग्राही मूल्यांकन,organoleptic evaluation
पक्षिविज्ञान,orninthology
सुगठ्य बीज,orthodox seed
लंबिक बहुपद समीकरण,orthogonal polynomial equation
परासरण,osmosis
परासरणी प्रभाव,osmotic effect
परासरणी विभव,osmotic potential
उद्भेद,out break
फैलना,out break
बाहि: प्रजनन,out breeding
अवन,oven
बंद चूल्हा,oven
शिशिर लयन,overwinter
अतिव्यापी पीढ़ी,overlapping generation
ऑक्सीकरण,oxidation
अम्लोदभिद,oxylophytes
पैकिंग,packing
बाड़ा,paddock
युगल पंक्ति बुवाई,paired row planting
खाद्यता,palatability
स्वादिष्टता,palatability
1. पुष्पगुच्छ,panicle
2. यौगिक असिमाक्ष,panicle
पराकेंद्रि प्रतिलोमन,paracentric inversion
प्राचल,parameter
परजीवी,parasite
अंशवथयनन,parboiling
मृदूतक,parenchyma
जनक शेल,parent rock
मूल शेल,parent rock
स्थायी अनावृष्टि,parmanent drought
स्थायी सूखा,parmanent drought
अनिषेकजनन,parthenogenesis
आंशिक कारक उत्पादकता,partial factor productivity
सहभागी ग्रामीण आकलन,participatory rural appraisal
कण घनत्व,particle density
निष्क्रिय अवशोषण,passive absorption
चरागाह,rangeland
पाशुरीकरण,pasturization
पी.सी.आर. (पॉलिमरेज),PCR
शृंखला अभिक्रिया,polymerase chain reaction
भूस्वामित्व खेती,peasant farming
पीट (मृदा),peat (soil)
पेड,ped
"पुष्पदंड, वृंत",pedicel
वंशावली,pedigree
मृदाजनन,pedogenesis
मृदाविज्ञान,pedology
"छीलना, विश्लेषण",peeling
टिकियाकरण,pelleting
अंतःक्षरण,percolation
बहुवर्षीय पादप,perennial
परिकेंद्रित प्रतिलोमन,pericentric inversion
परिनगरीय,peri-urban
पारगम्यता,permeability
स्थायी कृषि,permaculture
स्थायी म्लानि बिंदु,permanent wilting point (PWP)
पारगम्यता गुणांक,permeability coefficient
पारगम्यता दर,permeability rate
पारगम्यता मापी,permeameter
दीर्घस्थायी शाकनाशी,persistent herbicide
पीड़कनाशी,pesticide
शैललभिद,petrophyte
विभोजी,phage
फाज,phage
समयांतराल बुवाई,phased planting
फेसमिड,phasmid
प्रणामक,phasmid
कागजन,phellogen
फिनोलिक यौगिक,phenolic compounds
रूपानुकूलति विज्ञान,phenology
घटना विज्ञान,phenology
लक्षण,phenotype
लक्षण प्रकार,phenotype
समलक्षणी,phenotype
फेरोमोन,pheromone
पोषवाह,phloem
फ्लोएम,phloem
फॉस्फेट स्थिरीकरण,phosphate fixation
फॉस्फेट शैल,phosphate rock
फॉस्फेट विलयीकरण,phosphate solubilization
फॉस्फेट विलयीकरण जीवाणु,phosphate solubilizing
फॉस्फेटाइड,phosphatide
फॉस्फो-जिप्सम,phospho-gypsum
फॉस्फोरस युक्त जिप्सम,phospho-gypsum
फॉस्फोलिपिड,phospholipid
फॉस्फोरिलीकरण,phosphorylation
प्रकाश वर्णक्रममापी,photo spectrometer
प्रकाशस्वपोषी,photoautotroph
प्रकाश रासायनिक अभिक्रिया,photochemical reaction
प्रकाशिक अपघटन,photodecomposition
प्रकाशमिति,photometry
प्रकाशीय संरचना विकास,photomorphogenesis
फोटॉन,photon
प्रकाश आक्सीकरण,photo-oxidation
दीप्तिकाल,photoperiod
प्रकाशकाल,photoperiod
दीप्तिकालिता,photoperiodism
प्रकाशीय फॉस्फोरीलीकरण,photophosphorylation
प्रकाश पुनः सक्रियण,photoreactivation
प्रकाशग्राही,photoreceptor
प्रकाशीय श्वसन,photorespiration
प्रकाश संश्लेषण,photosynthesis
प्रकाश संश्लेषी दक्षता,photosynthetic efficiency
प्रकाश संश्लेषी गुणांक,photosynthetic quotient
प्रकाश संश्लेषी सक्रिय विकिरण,photosynthetically
प्रकाशानुवर्तन,phototropism
पर्णमिता,phyllody
पर्णविन्यास,phyllotaxy
भौतिक अपक्षय,physical weathering
कार्यकीय विकार,physiological disorder
कार्बकीय शुष्कता,physiological drought
कार्बकीय भार हानि,physiological loss
कार्बकीय परिपक्वता,physiological maturity
पादपवर्णक,phytochrome
पादप निष्कर्षण,phytoextraction
पादप भार,phytomass
पादप सूत्रकृमि,phytonematode
पादप उपचार,phytoremediation
पादप सिडरोफोर,phytosiderophore
पादप आभिषालु,phytotoxic
फाइटोट्रॉन,phytotron
चित्रालेख,pictograph
पाई आलेख,pie diagram
घट खेती,pitcher farming
"अवस्थापन, निवेशन (उर्वरक)",placement (fertilizer)
बीजांडआसन (पौधों में),placenta
"अपरा, प्लेसेंटा",placenta
"सुगाग, पाटा फेरना",planking
पादप प्रजनन,plant breeding
पादप सघनता,plant density
पादप पारिस्थितिकी,plant ecology
पादप वृद्धि कारक,plant growth promotor
पादप वृद्धि नियामक,plant growth regulator
पादप प्रवेश,plant introduction
पादप पोषक (तत्व),plant nutrients
पादप पोषण,plant nutrition
पादप संगरोध नियमन,plant quarantine regulation
पादप ऊतक परीक्षण,plant tissue test
रोपणी फसलें,plantation crops
बागानी फसलें,plantation crops
प्लांटर,planter
रोपण यंत्र,planter
रोपण सामग्री,planting material
रोपण अनुपात,planting ratio
प्रद्रव,plasma
प्लाज्मा झिल्ली,plasma membrane
प्लाज्मिड,plasmid
प्रद्रवयंतु,plasmodesmata
प्रद्रवलयन,plasmolysis
सुघट्यता,plasticity
प्लास्टिकता,plasticity
प्लास्टीकल्चर,plasticulture
लवक,plastid
बहुप्रभावी जीन,pleiotropic gene
प्रखंड (प्रायोगिक),plot (experimental)
जुताई,ploughing
खुरदली,plough-sole
खुरदली निवेशान,plough-sole placement
वर्षा-आधारित धान की भूमियां,pluvial rice lands
वर्ष संबंधी,pluvic
वायुगालित फुहारा,pneumatic sprayer
स्वसनमूल,pneumatophore
पॉडजोल मृदा,podzol soil
पॉडजोलिकरण,podzolization
बिंदु उत्परिवर्तन,point mutation
प्वासां बंटन,Poisson distribution
परागक,pollinator
परागद,polliniser
बहुभ्रूणता,polyembrony
बहुलकन,polymerization
बहुरूपता,polymorphism
बहुभ्रूणगुता,polyspermy
बहुपट्टीय गुणसूत्र,polytene chromosome
फल विज्ञान,pomology
समष्टि,population
ससंरता,porosity (pore-space)
अंकुरण-पर्यांत,post-emergence
"कटाई उपरांत, तुड़ाई उपरांत, सस्योत्तर",post harvest
कटाई-उपरांत जुताई,post-harvest tillage
पोटेशियम अवशोषण अनुपात,potassium absorption ratio
पोटेशियम स्थिरीकरण,potassium fixation
संभाव्य अम्लता,potential acidity
संभाव्य फसल उपज,potential crop yield
संभाव्य वाष्पन,potential evaporation
संभाव्य वाष्पन-रूपांतरण,potential evapo-transformation
कुक्कुट पालन,poultry farming
प्रेयरी,Prairie
फलनपूर्व अवधि,pre-bearing period
"अवक्षेपण, वर्षा",precipitation
परिशुद्ध कृषि,precision agriculture
परभक्षी,predator
अंकुरणपूर्व,pre-emergence
अंकुरण-पूर्व उपचार,pre-emergence treatment
बुवाई-पूर्व उपचार (शाकनाशी),preplanting treatment
प्रेसमड (चीनी की मैली),pressmud
दाब प्रवणता,pressure gradient
कीमत लोच,price elasticity
कीमत सूचकांक,price index
प्राथमिक संवर्ध,primary culture
प्राथमिक वृद्धि,primary growth
प्राथमिक कर्षण,primary tillage
प्रारंभक,primer
रचना (तंबाकू),priming (tobacco)
आद्य अवस्था,primordial stage
प्रायोन,prion
प्रायिकता,probability
संपरीक्षक,probe
समस्याग्रस्त मृदा,problem soil
प्रसंस्करण,processing
उत्पादन फलन,production function
उत्पादकता,productivity
लाभ,profit
संतति परीक्षण,progeny-testing
प्रगतिशील किसान,progressive farmer
परियोजना मूल्यांकन,project evaluation
प्राक्केंद्रकी,prokaryote
उदायक,promotor
रोग निरोधी छिड़काव,prophylactic spray
स्वामित्व किस्म,proprietary cultivar
पुंपूर्वी,protandrous
प्रोटीन,protein
प्रोटीन इंजीनियरी,protein engineering
प्रोटीन अनुक्रमण,protein sequencing
प्रोटीन संश्लेषण,protein synthesis
प्रोटीन संजीविकी,proteomics
स्त्री पूर्वता,protogyny
जीवद्रव्य,protoplasm
प्रपोषित,prototroph
प्रूसिक अम्ल,prussic acid (HCN/dhurin)
कूट विकल्ली,pseudoallele
आगमासी उभयलिंगी,pseudohermaphrodite
साइक्रोमीटर,psychrometer
आर्द्रतामापी,psychrometer
कादों,puddle
गाद,puddle
कीचड़,puddle
गादयुक्त मिट्टी,puddled soil
कादों करना,puddling
गाद करना,puddling
गूदा निकालना,pulping
दलहनी बीज,pulse seed
चूर्णन,pulverization
भुरभुरा करना (मिट्टी),pulverization (soil)
तीखा,pungent
शुद्ध संवर्ध,pure culture
शुद्ध वंशक्रम,pure line
शुद्ध वंशक्रम वरण,pure line selection
रेचक,purgative
शोधन,purification
शुद्धता परीक्षण,purity test
पाइरेनोमीटर,pyranometer
भू-तापमापी,pyregeometer
सौर विकिरणमापी,pyreheliometer
क्यू दस,Q 10
मात्रात्मक विशेषक स्थल,QTL (quantitative trait loci)
चतुर्कोण,quadrat
द्विघाती प्रतिक्रिया,quadratic response
चतु: सस्यन,quadruple cropping
गुणात्मक वंशागति,qualitative inheritance
गुणता बीज,quality seed
मात्रात्मक आनुवंशिकी,quantitative genetics
मात्रात्मक वंशागति,quantitative inheritance
क्वांटम बीज,quantum seed
संगरोध,quarantine
संगरोध पीड़क,quarantine pest
स्फटिक,quartz
त्वरित परीक्षण,quick test
प्रशांति,quiescence
